NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 213 GTMIN  0000.00  9 2018  9 2018                                                                                                                                                                     
 213 GTMIN  0000.00 10 2018 10 2018                                                                                                                                                                     
 213 GTMIN  0000.00 11 2018 11 2018                                                                                                                                                                     
 213 GTMIN  0000.00 12 2018 12 2018                                                                                                                                                                     
 213 GTMIN  0000.00  1 2019  1 2019                                                                                                                                                                     
 213 GTMIN  0000.00  2 2019  2 2019                                                                                                                                                                     
 213 GTMIN  0000.00  3 2019  3 2019                                                                                                                                                                     
 213 GTMIN  0000.00  4 2019  4 2019                                                                                                                                                                     
 214 POTEF    65.25  8 2018 12 2019  EBOLT_L13                                                                                                                                                          
 214 GTMIN  0000.00  8 2018  8 2018                                                                                                                                                                     
 214 GTMIN  0000.00  9 2018  9 2018                                                                                                                                                                     
 214 GTMIN  0000.00 10 2018 10 2018                                                                                                                                                                     
 214 GTMIN  0000.00 11 2018 11 2018                                                                                                                                                                     
 214 GTMIN  0000.00 12 2018 12 2018                                                                                                                                                                     
 214 GTMIN  0000.00  1 2019  1 2019                                                                                                                                                                     
 214 GTMIN  0000.00  2 2019  2 2019                                                                                                                                                                     
 214 GTMIN  0000.00  3 2019  3 2019                                                                                                                                                                     
 214 GTMIN  0000.00  4 2019  4 2019                                                                                                                                                                     
  62 POTEF   385.90  1 2020          ELETROBOLT                                                                                                                                                         
 110 POTEF   572.10  8 2018          F.GASPARIAN                                                                                                                                                        
 110 FCMAX    65.51 10 2018                                                                                                                                                                             
  63 POTEF   226.00  8 2018          IBIRITERMO                                                                                                                                                         
  63 FCMAX     2.59  8 2018  8 2018                                                                                                                                                                     
  63 FCMAX     6.24  9 2018  9 2018                                                                                                                                                                     
  63 FCMAX   100.00 10 2018                                                                                                                                                                             
  54 POTEF    87.05  8 2018          JUIZ DE FORA                                                                                                                                                       
  15 POTEF   204.00  8 2018          LINHARES                                                                                                                                                           
  15 GTMIN  0000.00  8 2018  8 2018                                                                                                                                                                     
  15 FCMAX    90.00  9 2018 10 2018                                                                                                                                                                     
  15 GTMIN  0000.00 10 2018  3 2019                                                                                                                                                                     
  15 FCMAX   100.00 11 2018                                                                                                                                                                             
  15 GTMIN  0000.00  4 2019  4 2019                                                                                                                                                                     
  15 GTMIN  0000.00  5 2019  8 2019                                                                                                                                                                     
  15 IPTER     8.06  1 2019  1 2019                                                                                                                                                                     
  15 GTMIN  0000.00  9 2019  3 2020                                                                                                                                                                     
  15 IPTER     8.93  2 2019  2 2019                                                                                                                                                                     
  15 GTMIN  0000.00  4 2020  4 2020                                                                                                                                                                     
  15 IPTER     8.06  3 2019  3 2019                                                                                                                                                                     
  15 GTMIN  0000.00  5 2020  7 2020                                                                                                                                                                     
  15 IPTER    53.33  4 2019  4 2019                                                                                                                                                                     
  15 IPTER    11.29  5 2019  5 2019                                                                                                                                                                     
  15 IPTER    11.67  6 2019  6 2019                                                                                                                                                                     
  15 IPTER    11.29  7 2019  8 2019                                                                                                                                                                     
  15 IPTER    11.67  9 2019  9 2019                                                                                                                                                                     
  15 IPTER    11.29 10 2019 10 2019                                                                                                                                                                     
  15 IPTER    11.67 11 2019 11 2019                                                                                                                                                                     
  15 IPTER    11.29 12 2019  1 2020                                                                                                                                                                     
  15 IPTER    12.07  2 2020  2 2020                                                                                                                                                                     
  15 IPTER    13.71  3 2020  3 2020                                                                                                                                                                     
  15 IPTER    53.33  4 2020  4 2020                                                                                                                                                                     
  15 IPTER     8.06  5 2020  5 2020                                                                                                                                                                     
  15 IPTER     8.33  6 2020  6 2020                                                                                                                                                                     
  15 IPTER     8.06  7 2020  8 2020                                                                                                                                                                     
  15 IPTER     8.33  9 2020  9 2020                                                                                                                                                                     
  15 IPTER     8.06 10 2020 10 2020                                                                                                                                                                     
  15 IPTER     9.17 11 2020 11 2020                                                                                                                                                                     
  15 IPTER    11.29 12 2020 12 2020                                                                                                                                                                     
  15 IPTER    14.52  1 2021  1 2021                                                                                                                                                                     
  15 IPTER     9.82  2 2021  2 2021                                                                                                                                                                     
  15 IPTER     5.65  3 2021  3 2021                                                                                                                                                                     
  15 IPTER     2.50  4 2021  4 2021                                                                                                                                                                     
  15 IPTER     3.23  5 2021  5 2021                                                                                                                                                                     
  15 IPTER     5.83  6 2021  6 2021                                                                                                                                                                     
  15 IPTER    10.48  7 2021  7 2021                                                                                                                                                                     
  15 IPTER     4.03  8 2021  8 2021                                                                                                                                                                     
  15 IPTER     3.33  9 2021  9 2021                                                                                                                                                                     
  15 IPTER     7.26 10 2021 10 2021                                                                                                                                                                     
  15 IPTER    20.00 11 2021 11 2021                                                                                                                                                                     
  15 IPTER     4.84 12 2021 12 2021                                                                                                                                                                     
 171 POTEF   400.00  8 2018          NORTEFLU-1                                                                                                                                                         
 171 FCMAX     0.00  8 2018  8 2018                                                                                                                                                                     
 171 FCMAX   100.00  9 2018                                                                                                                                                                             
 171 GTMIN   399.99  9 2018                                                                                                                                                                             
 172 POTEF   100.00  8 2018          NORTEFLU-2                                                                                                                                                         
 172 FCMAX     0.00  8 2018  8 2018                                                                                                                                                                     
 172 FCMAX   100.00  9 2018                                                                                                                                                                             
 173 POTEF   200.00  8 2018          NORTEFLU-3                                                                                                                                                         
 173 FCMAX     0.00  8 2018  8 2018                                                                                                                                                                     
 173 FCMAX    80.00  9 2018  9 2018                                                                                                                                                                     
 173 FCMAX   100.00 10 2018                                                                                                                                                                             
 173 IPTER     0.00  1 2019  3 2019                                                                                                                                                                     
 173 IPTER    16.67  4 2019  4 2019                                                                                                                                                                     
 173 IPTER     0.00  5 2019 12 2019                                                                                                                                                                     
 174 POTEF   126.78  8 2018          NORTEFLU-4                                                                                                                                                         
 174 FCMAX     0.00  8 2018  9 2018                                                                                                                                                                     
 174 FCMAX   100.00 10 2018                                                                                                                                                                             
 174 IPTER     0.00  1 2019  3 2019                                                                                                                                                                     
 174 IPTER   100.00  4 2019  4 2019                                                                                                                                                                     
 174 IPTER     0.00  5 2019  8 2019                                                                                                                                                                     
 174 IPTER    43.33  9 2019  9 2019                                                                                                                                                                     
 174 IPTER     0.00 10 2019  2 2020                                                                                                                                                                     
 174 IPTER    41.94  3 2020  3 2020                                                                                                                                                                     
 174 IPTER     0.00  4 2020  9 2020                                                                                                                                                                     
 174 IPTER    41.94 10 2020 10 2020                                                                                                                                                                     
 174 IPTER     0.00 11 2020  2 2021                                                                                                                                                                     
 174 IPTER    80.65  3 2021  3 2021                                                                                                                                                                     
 174 IPTER     0.00  4 2021  7 2021                                                                                                                                                                     
 174 IPTER    80.65  8 2021  8 2021                                                                                                                                                                     
 174 IPTER     0.00  9 2021 12 2021                                                                                                                                                                     
 137 POTEF  1298.96  1 2021          NOVO TEMPO                                                                                                                                                         
 229 POTEF    50.00  9 2020          ONCA PINTADA                                                                                                                                                       
 229 GTMIN  0006.86  9 2020                                                                                                                                                                             
 182 POTEF   175.56  8 2018          PALMEIRAS GO                                                                                                                                                       
  50 POTEF   200.00  8 2018          PIRAT.12 G                                                                                                                                                         
  50 FCMAX     0.00  8 2018                                                                                                                                                                             
 230 POTEF     5.00  2 2020          PREDILECTA                                                                                                                                                         
 230 GTMIN  0000.00  2 2020                                                                                                                                                                             
   4 POTEF   436.00  8 2018          ST.CRUZ 34                                                                                                                                                         
   4 FCMAX     0.00  8 2018                                                                                                                                                                             
  86 POTEF   500.00  8 2018          ST.CRUZ NOVA                                                                                                                                                       
  86 FCMAX    70.00  8 2018  8 2020                                                                                                                                                                     
  86 FCMAX     0.00  9 2020 11 2020                                                                                                                                                                     
  86 GTMIN  0000.00  9 2018  9 2018                                                                                                                                                                     
  86 FCMAX   100.00 12 2020                                                                                                                                                                             
  86 GTMIN  0000.00 10 2018 10 2018                                                                                                                                                                     
  86 GTMIN  0000.00 11 2018 11 2018                                                                                                                                                                     
  86 GTMIN  0000.00 12 2018 12 2018                                                                                                                                                                     
  86 GTMIN  0000.00  1 2019  1 2019                                                                                                                                                                     
  86 GTMIN  0000.00  2 2019  2 2019                                                                                                                                                                     
  86 GTMIN  0000.00  3 2019  3 2019                                                                                                                                                                     
  86 GTMIN  0000.00  9 2019  9 2019                                                                                                                                                                     
  86 GTMIN  0000.00 10 2019 10 2019                                                                                                                                                                     
  86 GTMIN  0000.00 11 2019 11 2019                                                                                                                                                                     
  86 GTMIN  0000.00 12 2019 12 2019                                                                                                                                                                     
  86 IPTER     0.00  1 2020  8 2020                                                                                                                                                                     
  86 GTMIN  0000.00  1 2020  1 2020                                                                                                                                                                     
  86 IPTER    70.00  9 2020 11 2020                                                                                                                                                                     
  86 GTMIN  0000.00  2 2020  2 2020                                                                                                                                                                     
  86 IPTER     0.00 12 2020 12 2020                                                                                                                                                                     
  86 GTMIN  0000.00  3 2020  3 2020                                                                                                                                                                     
  86 GTMIN  0000.00 12 2020 12 2020                                                                                                                                                                     
  86 GTMIN  0000.00  1 2021  1 2021                                                                                                                                                                     
  86 GTMIN  0000.00  2 2021  2 2021                                                                                                                                                                     
  86 GTMIN  0000.00  3 2021  3 2021                                                                                                                                                                     
  86 GTMIN  0000.00  9 2021  9 2021                                                                                                                                                                     
  86 GTMIN  0000.00 10 2021 10 2021                                                                                                                                                                     
  86 GTMIN  0000.00 11 2021 11 2021                                                                                                                                                                     
  86 GTMIN  0000.00 12 2021  1 2022                                                                                                                                                                     
  86 GTMIN  0000.00  2 2022  2 2022                                                                                                                                                                     
  86 GTMIN  0000.00  3 2022  3 2022                                                                                                                                                                     
  86 GTMIN  0000.00  9 2022  9 2022                                                                                                                                                                     
  86 GTMIN  0000.00 10 2022 10 2022                                                                                                                                                                     
  86 GTMIN  0000.00 11 2022 11 2022                                                                                                                                                                     
  86 GTMIN  0000.00 12 2022                                                                                                                                                                             
 146 POTEF    41.40  1 2020          STA VITORIA                                                                                                                                                        
 217 POTEF   134.25  8 2018 12 2019  T LAGOAS_L1                                                                                                                                                        
 218 POTEF   215.75  8 2018 12 2019  T LAGOAS_L13                                                                                                                                                       
 218 FCMAX    83.70  8 2018  8 2018                                                                                                                                                                     
 218 FCMAX    99.88  9 2018  9 2018                                                                                                                                                                     
 218 FCMAX   100.00 10 2018 12 2019                                                                                                                                                                     
 194 POTEF   340.00  8 2018          T.NORTE 2                                                                                                                                                          
 194 FCMAX     0.00  8 2018                                                                                                                                                                             
 223 POTEF    50.00  7 2021          TERMOIRAPE I                                                                                                                                                       
  90 POTEF   928.70  8 2018          TERMOMACAE                                                                                                                                                         
  47 POTEF  1036.00  1 2020          TERMORIO                                                                                                                                                           
  47 GTMIN  0100.50  1 2020  1 2020                                                                                                                                                                     
  47 GTMIN  0100.50  2 2020  2 2020                                                                                                                                                                     
  47 GTMIN  0100.50  3 2020  3 2020                                                                                                                                                                     
  47 GTMIN  0100.50  4 2020  8 2020                                                                                                                                                                     
  47 GTMIN  0100.50  9 2020  9 2020                                                                                                                                                                     
  47 GTMIN  0100.50 10 2020 10 2020                                                                                                                                                                     
  47 GTMIN  0100.50 11 2020 11 2020                                                                                                                                                                     
  47 GTMIN  0100.50 12 2020 12 2020                                                                                                                                                                     
  47 GTMIN  0100.50  1 2021  1 2021                                                                                                                                                                     
  47 GTMIN  0100.50  2 2021  2 2021                                                                                                                                                                     
